location,Oil,NaturalGas,Coal,NuclearEnergy,Hydroelectric,Renewables,2015 Total,Oil,NaturalGas,Coal,NuclearEnergy,Hydroelectric,Renewables,2016 Total
Poland,24.942,14.70232636,48.67130028,0,0.41453591,4.718061275,93.44822693,27.202,15.58213058,48.80727437,0,0.484228628,4.644971387,96.72061157
Portugal,11.508177,4.28432293,3.259361,0,1.959656577,3.555088965,24.56660461,11.17080541,4.644118718,2.879,0,3.574857444,3.722451011,25.99123192
Romania,9.157,8.950365434,5.9144,2.633841698,3.763633072,2.165226049,32.58446884,9.491963582,9.530717971,5.403936166,2.553740327,4.05153847,2.040710611,33.07260895
Russian Federation,144.1760879,362.5092471,92.163232,44.23055098,38.45353939,0.1534764,681.6861572,147.985682,351.7652754,87.30937592,44.49001018,42.22705729,0.164580857,673.9419556
Slovakia,3.673,3.879449699,3.2753,3.427162058,0.920260669,0.49192198,15.66709423,4,3.952450559,3.121077,3.342987736,1.013910916,0.501933924,15.93236065
Spain,61.20000228,24.59048015,13.686,12.9603287,6.306355805,15.63284625,134.3760071,62.47975791,25.15975082,10.442,13.27848149,8.051698577,15.54203091,134.9537201
Sweden,14.12775489,0.766272571,2.1164,12.75014708,17.04122732,6.138842377,52.94064331,14.69276743,0.845485813,2.2497226,14.20353294,14.10879636,6.104840915,52.20514297
Switzerland,10.733616,2.567067928,0.12921563,5.262681526,8.505418945,0.667188314,27.8651886,10.1778104,2.696821239,0.129569646,4.819658777,7.784072339,0.78671205,26.39464569
Turkey,38.8933195,39.23144884,34.739989,0,15.19342897,3.85329909,131.9114838,41.17240126,37.90019384,38.4351896,0,15.19867697,5.168742007,137.8751984
Turkmenistan,6.618076189,26.47398464,0,0,0,0.000929832,33.09299088,6.689437847,26.55340659,0,0,0,0.001184392,33.24402618
Ukraine,9.177499128,25.91209961,27.344,19.82784993,1.221206499,0.386025252,83.86868286,9.122211785,26.07361092,31.51662721,18.3169661,1.618698615,0.339276205,86.98738861
United Kingdom,71.75299523,61.32758881,23.01541805,15.91729692,1.422847241,17.48230858,190.918457,73.14071085,69.02523538,10.97301143,16.22982318,1.21457266,17.51100187,188.0943451
USSR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan,2.727902863,45.21204011,1.11179278,0,2.676833959,0.000333756,51.72890091,2.755252487,46.22659829,1.001801258,0,2.684167751,0.000502005,52.6683197
Other Europe & Eurasia,33.31714459,13.58142638,22.99127526,1.908788523,20.67068227,2.335697373,94.80501565,34.48965293,13.94650353,23.0211161,1.831583473,21.73845498,2.523408693,97.55071873
Total Europe & Eurasia,865.8600585,909.2029294,471.3388989,263.9497828,194.6745349,141.5846451,2846.610901,884.6254066,926.9450893,451.5641722,258.1974675,201.7678875,144.0450639,2867.145071
Iran,84.50330954,171.6804159,1.636241,0.802597638,4.100217224,0.099173465,262.8219604,83.82672138,180.7183022,1.710456,1.410925036,2.904780684,0.10206581,270.6732178
Israel,11.36672893,7.569,6.747309961,0,0.005430601,0.283296375,25.97176552,11.61982097,8.694,5.717679181,0,0.00544548,0.3894045,26.42634964
Kuwait,22.27260645,19.20286907,0,0,0,0.000919242,41.47639465,21.99262272,19.73220428,0,0,0,0.006267974,41.73109436
Qatar,10.6923536,39.53442957,0,0,0,0.001895054,50.22867966,11.70366296,37.48867317,0,0,0,0.00209027,49.19442749
Saudi Arabia,166.641055,94.005,0.099538784,0,0,0.016393628,260.7619934,167.9349486,98.43949129,0.099811493,0,0,0.018786905,266.4930725
United Arab Emirates,40.86139208,66.39390636,1.264046007,0,0,0.069895591,108.589241,43.46732668,68.96744208,1.267509147,0,0,0.071878779,113.7741547
Other Middle East,76.46155974,45.89712516,0.474967872,0,1.815669984,0.052124214,124.7014437,77.29040611,47.05902391,0.476211707,0,1.808840012,0.155106836,126.7895904
