location,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Growth rate per annum 2016,Growth rate per annum 2005-15,Share 2016
Venezuela,0.745961774,0.72295618,0.716585319,0.885177871,0.935489171,0.90990351,1.124837397,1.231229313,1.242409602,1.391515954,1.428560648,1.440214713,1.536752207,1.513209099,1.669244975,1.676290812,1.845500185,1.798306465,1.835955054,1.890328843,2.125222412,2.119094754,2.085859359,2.25712832,2.387421687,2.660801251,2.868699874,2.982879572,3.128545836,2.651986023,2.694377951,2.863228981,2.749276037,2.440485058,2.740745867,2.652856795,3.045962202,3.504182042,3.16124122,3.00058528,2.962477469,2.67046575,2.844181163,2.751206307,2.770798093,3.137006305,3.309037055,0.054839147,0.016904475,0.00965618
Other S. & Cent. America,0.068479269,0.072134364,0.06914984,0.053536383,0.061061578,0.070091811,0.108709981,0.117715542,0.134270969,0.086432233,0.077190519,0.078154519,0.082562133,0.091162355,0.095844894,0.099332567,0.092344886,0.09094735,0.12125344,0.171789439,0.235538586,0.215538769,0.234337551,0.194655743,0.253169041,0.241923176,0.245807847,0.236417959,0.225178543,0.279743728,0.308756716,0.324969072,0.302801986,0.287005246,0.290476866,0.312558535,0.343721011,0.350225774,0.334181343,0.332890327,0.329662041,0.273018377,0.256179609,0.232451612,0.224604365,0.238588515,0.22757959,-0.046141891,-0.026643761,0.000664105
Total S. & Cent. America,1.750674134,1.758987619,1.870322877,2.102652458,2.170703187,2.213940377,2.520802046,2.714791558,2.811207399,3.089288796,3.334361479,3.418372082,3.728073054,3.906619895,4.215751956,4.327033087,4.757383695,4.824668864,5.228199175,5.478178522,5.686540259,5.841454681,5.909895893,6.175531551,6.589661052,7.181909276,7.798367445,8.19613917,8.67456541,8.877148361,9.824057599,10.2984824,10.66330987,11.6551046,12.98100775,13.59396558,14.91057358,15.68628092,15.73048887,15.26668723,16.07920114,16.15090675,16.73549082,16.99457289,17.11472844,17.22028607,17.0783978,-0.0082396,0.023928001,0.04983688
Azerbaijan,,,,,,,,,,,,,,,,1.231952649,1.190800002,1.094485296,1.039103144,0.971902943,0.866832354,0.753005884,0.689824776,0.595400001,0.560376471,0.577888236,0.550094957,0.525320403,0.490278184,0.525320403,0.49393098,0.48558503,0.450334227,0.448978426,0.436206892,0.501895933,0.592195348,0.948445934,1.426496513,1.429196411,1.459841999,1.432584938,1.505573136,1.566873905,1.699345999,1.736317988,1.68488201,-0.029623593,0.132143712,0.004916694
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022406692,0.108577805,0.184152258,0.234678564,0.231142721,0.29724518,0.303480341,0.381332309,0.396124303,0.435761206,0.472149045,0.511234185,0.619516133,0.760461888,0.731950044,0.750354144,0.78666638,0.810990132,0.811018498,0.770607637,0.909925463,1.008752212,1.002277054,0.888785507,0.96701236,0.809436935,0.789025905,0.633843305,0.552287485,0.459737099,0.443752085,0.443094953,0.43330327,-0.022098386,-0.078975399,0.001264433
Germany,1.069007621,1.334969493,1.590017484,1.791748796,1.880653593,1.711444221,1.797467004,1.828192237,1.955045515,1.961173173,1.787174934,1.852165357,1.31432512,1.398213024,1.458028508,1.326843276,1.141428247,1.365373185,1.267202359,1.226616739,1.240598057,1.423330623,1.439788965,1.436742933,1.506243087,1.554283543,1.678605377,1.654591367,1.616711751,1.726855269,1.628750627,1.648738722,1.644430526,1.711817224,1.579706523,1.529409804,1.51087643,1.383987846,1.257150344,1.178413709,1.028439694,0.967555934,0.872336527,0.795471929,0.747268899,0.695651826,0.638302928,-0.082439082,-0.075755647,0.001862647
Italy,1.162985015,1.185044807,1.252523012,1.356517746,1.354040468,1.29057177,1.383012932,1.216565398,1.215114157,1.185567069,1.100264031,1.236409043,1.269519528,1.138341644,1.201508833,1.240416132,1.390014151,1.424603609,1.44396446,1.480014219,1.508237165,1.516970032,1.579565937,1.685820106,1.778706481,1.757314538,1.754326836,1.708756651,1.68585856,1.549975049,1.471122642,1.351847429,1.29691351,1.231444318,1.146386417,1.070620163,0.97376016,0.854566226,0.812611256,0.705506146,0.740092848,0.743906949,0.755515396,0.681019931,0.629446441,0.596181736,0.507907586,-0.148065841,-0.056863995,0.001482137
Kazakhstan,,,,,,,,,,,,,,,,0.419506676,0.447801848,0.485246817,0.547027802,0.51592555,0.546988727,0.560682927,0.524424005,0.474201077,0.293225745,0.369112977,0.318332304,0.519153777,0.456041377,0.606336098,0.75865881,0.776095145,0.828014025,0.998062892,1.173032624,1.240815353,1.292044051,1.336771725,1.548662516,1.598519253,1.703354465,1.67581469,1.656403008,1.784835222,1.813188548,1.839524831,1.922796551,0.04526806,0.040159284,0.005610959
Netherlands,2.580498031,3.566479369,4.742313186,5.782369718,6.855651486,7.425671947,7.912390791,7.959745171,7.287018321,7.641355364,7.369534206,6.860786806,5.867102489,6.24711613,6.306866834,6.62199445,6.05454165,6.064812289,5.338943301,5.851696531,5.905617385,6.670779985,6.698645407,6.850516167,6.470502526,6.542396999,7.384898071,6.557802957,6.254819109,5.818316954,5.595007728,6.023729733,5.828587593,5.612904176,6.601340925,6.04683867,5.95440292,5.851696531,6.419535182,6.064812289,6.81970425,6.206033574,6.155788822,6.639968069,5.602633537,4.192988343,3.874254779,-0.076015848,-0.03595007,0.011305555
Norway,0,0,0,0,0,0,0,0.256868212,1.373957579,1.999847566,2.420725264,2.414083429,2.318193478,2.28457537,2.50508273,2.533527486,2.524243987,2.723668595,2.733467766,2.780447316,2.465200581,2.421425976,2.492641934,2.399834302,2.596992676,2.691035332,3.60845829,4.155009309,4.27593455,4.689670299,4.804718745,5.228165398,6.346373224,7.059056589,7.639822689,8.305485956,8.578879301,8.737708012,9.659458297,10.09937425,10.3767328,9.797769037,11.06937748,10.52143168,10.52860375,11.33475884,11.25527647,-0.007012268,0.031584299,0.032844291
