location,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Growth rate per annum 2016,Growth rate per annum 2005-15,Share 2016
Trinidad & Tobago,2.953159506,3.14850718,3.359115606,3.46427612,3.570346098,3.832210283,3.871241209,5.396046024,5.348103679,5.158773815,4.1479051,4.671821152,4.853538806,4.865567996,4.285752862,4.112039643,4.34183319,5.101573381,4.966575689,4.893440286,5.06626628,5.27278255,4.956948319,5.448400914,5.362816084,5.969671449,6.309175041,6.665835563,7.048101672,7.488376799,8.121510704,9.209920395,9.222152949,9.354152949,10.36415501,10.47874182,11.66442881,12.64776166,13.76715483,15.15181008,16.36644985,20.91957189,21.84908055,21.42960053,22.09518281,23.08751413,23.05601832,22.01019565,22.43319784,21.85346603,21.61459028,19.35321983,-0.107068792,0.028203914,0.001457726
Venezuela,15.98784008,16.10890971,16.94423292,18.29295095,18.47855869,18.63253486,18.90074896,20.00395751,22.82188382,23.54427455,24.53712003,26.63880157,29.74488199,30.29962378,33.35326636,37.53255681,38.98477938,39.66438079,39.492518,40.18453488,41.31738742,44.38674673,44.1670354,45.94667191,46.38769334,49.23340764,49.26702509,53.60172445,52.77074389,57.52157735,59.01534897,57.11397828,60.40779734,64.35715152,62.22733185,63.3933502,67.37591014,67.23606872,60.51130484,67.45777214,70.42887106,78.49665819,81.21393162,84.41448821,82.90328188,80.65665589,80.33483366,84.14421067,83.26022758,78.14552594,78.7860543,74.64390695,-0.05516322,0.011276377,0.00562234
Other S. & Cent. America,21.96762948,23.35202601,24.58560801,25.24116288,26.98105235,28.87018693,37.98170592,39.69957795,42.72232099,42.04216691,41.61859395,43.23209697,44.62165353,46.85958328,49.1011961,55.00457662,55.39264179,50.39306801,48.7821074,49.41120273,47.10247089,49.56378322,53.03764114,52.72215908,56.53122629,57.40876818,57.68690596,57.3195445,59.45234799,63.40347983,66.65253602,69.05313769,74.62134257,78.18353397,80.48404642,81.68139612,83.13818601,84.68555014,89.09917647,90.17972318,91.06559355,93.75017247,95.09399901,93.35820139,92.15234593,94.84085977,97.75747857,98.66130428,98.67441561,98.87583458,102.5646508,106.1903453,0.032521505,0.011962311,0.007998485
Total S. & Cent. America,108.8412877,115.7391681,120.4225114,127.698869,134.1831052,141.9033983,156.8427765,168.9777113,185.2087263,193.5186632,196.0946276,209.1498393,221.1171587,234.132544,249.8806887,263.5900059,263.0257897,264.7876587,266.923958,277.257116,283.6235329,304.2521286,315.9111699,324.5827638,331.3772907,331.4625635,340.8236233,355.8765387,368.4782596,390.5299462,407.3938038,423.6552461,448.0840048,463.7682032,465.9715158,476.3093498,479.4560366,486.0956924,492.9424529,518.5834183,537.1679367,567.8490408,593.9064705,613.2274732,606.0042056,641.6989841,665.3529054,680.945141,696.7307288,704.1352484,710.399887,705.3395819,-0.009835957,0.028346041,0.053127695
Austria,15.91936211,16.64976433,16.79673621,17.98346278,18.70425611,21.35840278,21.40160399,22.1422596,23.78661192,23.84828691,23.63987042,24.62211725,24.55933173,25.65644219,27.11699011,26.94543923,26.07385248,25.18644253,25.0986791,24.97447944,26.20780503,26.44970109,27.85113127,27.37647148,27.5377125,28.12088894,29.51250278,28.94042861,29.43267318,29.23535735,30.70547968,30.85715726,31.4702614,31.95549958,32.61250657,32.63062257,33.97022312,34.09340479,34.68216391,35.30046517,36.12444035,35.8264873,35.04088298,35.6867302,34.64376596,35.91471486,33.82327856,35.38755232,35.13589015,33.84699076,33.89923836,35.12875718,0.033438466,-0.006337543,0.002645974
Azerbaijan,,,,,,,,,,,,,,,,,,,,,20.51630018,22.11821833,21.45009753,21.4635845,21.91117951,22.57939947,21.89885277,18.70058126,16.12058631,14.76968924,13.94060974,11.4177974,10.92287597,10.94998344,10.9553963,11.40134323,11.06974068,10.91890834,11.80141633,12.60233496,13.80098666,13.56205754,12.26504155,12.34575084,10.87743698,10.68789475,11.92338537,12.27066459,12.62250309,13.23557212,14.51115368,14.49330794,-0.003958675,0.005030359,0.001091667
Belarus,,,,,,,,,,,,,,,,,,,,,35.63132876,40.59677625,41.26334493,41.96347217,40.65882865,39.08143038,38.7139319,36.84970961,29.57396221,24.71445826,22.40388843,22.99065241,23.32963979,22.86801133,22.31641977,22.98973635,22.45066009,23.133612,23.02752666,24.86911854,24.75254437,26.30013487,25.66907896,25.9230695,24.41688692,25.91617595,25.87477336,27.94870871,24.74358505,25.48323258,22.44332866,23.72033566,0.054011479,-0.009745688,0.001786667
Belgium,35.23389029,33.92683024,35.61309241,39.69886757,43.54470329,45.9602357,45.06517489,47.92277072,48.57951513,46.90332788,43.89293801,46.51718148,46.57285598,48.59495253,50.05448544,47.93077845,45.5683774,43.53514116,42.01404416,43.8662394,45.68641521,47.07056077,48.48051924,49.42597053,49.83298511,52.41245134,54.31266007,54.50714127,53.3633767,55.96665551,56.47192465,60.18716699,61.07590113,62.44250005,61.78754664,63.43311039,62.27954058,62.49333283,65.07890508,65.1789508,64.76981275,64.98908668,65.61408754,66.64744078,61.70992932,65.77967169,61.03898342,58.69143032,59.9593136,55.84382175,56.92384457,61.72818904,0.081436671,-0.012829524,0.0046495
Bulgaria,10.206,10.946,12.737,14.271,15.882,17.852,18.54533448,19.08263801,19.82188478,20.41382115,22.54351763,23.82611866,25.09114273,26.01200516,26.99759157,28.45969647,28.01095271,28.69171883,28.84417283,28.6720086,28.53075752,29.11972829,29.3384583,29.95041359,29.69947979,24.66812966,20.16655331,18.61389819,20.04635589,19.60411763,21.46825615,21.42750843,20.43271364,19.56363209,17.50291188,18.13173188,18.64952887,18.12450471,19.24837588,18.86838965,19.67643531,20.14995009,19.59473556,19.48956929,17.07237623,17.83419134,19.10619717,18.06313128,16.68790659,17.87411307,19.03892313,18.10478914,-0.05166262,-0.003288209,0.001363692
Czech Republic,40.1969166,40.502092,39.87077902,41.58290456,43.36417111,45.15995099,47.45997592,47.73453568,48.01885125,48.50064746,50.49893551,51.91319433,53.59887618,54.3453534,54.90669991,53.18210146,52.78937747,52.14931126,52.18400946,53.64696303,54.01170163,54.52695357,55.74594067,55.9749166,54.2195374,48.26020526,44.02862059,41.49333669,40.62794097,39.024597,40.52606832,41.88787653,42.11229025,40.60694497,37.8856814,40.66674197,41.50977656,41.61264453,43.86555829,44.49068039,44.19432614,45.14349402,44.89140952,43.60871642,41.23661076,43.23106651,42.40981454,41.93052374,41.77494961,40.21337838,40.19555852,39.89453352,-0.01020079,-0.009439159,0.003004942
