location,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Growth rate per annum 2016,Growth rate per annum 2005-15,Share 2016
Trinidad & Tobago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Venezuela,0.02,0.021,0.022,0.023,0.024,0.024,0.142684,0.150321,0.272413,0.204018,0.251905,0.165228,0.256043,0.07888,0.164434,0.156619,0.154731,0.088313,0.123578,0.135198,0.179011,0.199058,0.26149,0.190079,0.521917,0.462786,0,0.00365,0.02847,0.055481,0.00511,0.01606,0.03431,0.03577,0.0365,0.132132,0.048911,0.01825,0.043071,0,0.03723,0.247473,0.138701,0.140892,0.237253,0.199292,0.205132,0.210972,0.210242,0.197102,0.201,0.067693904,-0.664134586,0.183669077,1.81E-05
Other S. & Cent. America,0.085912475,0.081935154,0.085655314,0.078085554,0.077505713,0.069295953,0.061046192,0.066653991,0.061754311,0.06073455,0.06079463,0.05135739,0.076582829,0.058015668,0.051664947,0.073495987,0.079959987,0.101385987,0.207493071,0.166490864,0.345708863,0.281729384,0.428840701,0.396003973,0.383579966,0.354039954,0.378004384,0.346674081,0.389940384,0.310637474,0.311658932,0.316894643,0.283111491,0.276746694,0.407292456,0.579943487,0.66223286,1.070442303,1.901256629,1.975772521,1.99288306,2.269919373,2.391401966,2.449012938,2.075316757,2.214778835,2.680744422,2.678047271,2.854293781,3.193959739,3.202746391,3.3840539,0.053723099,0.048586045,0.000906767
Total S. & Cent. America,5.852140431,6.075937156,6.329024727,5.933663293,6.545413803,7.123196162,6.569492014,6.487915468,6.740911996,7.378303964,7.84406249,7.90511386,8.854217385,9.651628788,10.02822159,10.73080766,10.56761869,10.60455421,11.81357272,13.53821478,15.49376889,15.81344656,17.43090856,17.27972843,18.57824461,15.70102059,16.54486305,17.16377666,17.86704062,19.33281057,19.48739224,19.94462454,21.46021541,20.71164212,20.452594,20.87119971,19.92309702,19.54464333,21.16840596,22.36542691,21.1655715,24.32473225,25.6774637,27.95601235,23.20156447,28.14311563,30.19374624,31.68172209,34.203775,36.12654492,35.87710636,34.65870474,-0.036599873,0.054189633,0.009286902
Austria,5.082966445,4.855339328,4.595950289,4.537720096,4.465726404,4.802593866,4.405297602,3.994315468,3.969881532,4.189404796,3.640632464,3.874462597,3.250238846,3.301996752,3.584360371,3.683123149,3.770421324,3.586032292,3.839710519,4.375441865,4.369303525,3.895313844,3.864096685,3.7002484,3.716943728,4.096350435,4.29683768,3.343245438,3.005947263,3.048533486,3.468496226,3.483256903,3.694659406,3.252794497,3.230431325,3.652536995,3.773093998,3.832765822,4.088365804,4.004841488,4.000940505,4.069574782,3.902472613,3.75325083,2.878571426,3.384414547,3.47203718,3.230730477,3.279093085,2.996749382,3.241189547,3.175639524,-0.022901047,-0.020838715,0.000850922
Azerbaijan,,,,,,,,,,,,,,,,,,,,,0.092,0.092,0.092,0.092,0.092,0.089,0.067,0.012,0.003,0.004,0.003,0.003,0.003,0,0,0,0.003,0.002,0.003,0.00092,0.00322,0.00322,0.001240413,0.006982265,0.004121196,0.00052607,0.003471033,0.000545284,0.002935319,0.001658772,0.000353872,0.000354842,0,-0.198138999,9.51E-08
Belarus,,,,,,,,,,,,,,,,,,,,,2.159276,2.362157,2.296693,2.460562868,2.415500353,2.124695,2.018328,1.681014,1.443685,1.011501,0.951841,1.155165,1.217294,1.080293353,1.002274783,0.994989298,0.714404459,0.673899243,0.634288184,0.621318834,0.686143918,0.614332756,0.694774213,0.647691648,0.617091769,0.645515807,0.775461295,0.791002,0.860002161,0.787229388,0.666248905,0.778520752,0.165320708,-0.002938082,0.000208607
Belgium,19.16914485,17.48675788,17.16227434,17.71833003,17.25626409,16.2626391,13.46663391,12.86186087,10.79344951,11.54492176,8.622439162,8.985706984,9.113952732,9.333109017,10.39856559,10.48276066,10.85920588,10.87622619,9.281180238,10.7634168,10.73316328,9.158165197,9.113769906,9.209673069,9.676227273,10.5969,10.0635,9.2138,8.493,8.9671,8.652,8.2607,7.9809,8.0515,7.06,8.0016,7.4029,6.4045,6.0135,5.8677,5.1719,4.9519,4.4202,4.5487,3.1373,3.7629,3.5121,3.2153,3.3435,3.3327,3.1831,2.978384,-0.066869926,-0.047379295,0.000798067
Bulgaria,5.996,6.183,6.714,7.294,7.333,8.021,7.917,8.16,8.223,8.083,8.474,7.899,7.867,8.388,8.649,9.072,9.212,9.678,9.641,9.656,10.078,10.359,10.35,9.642,9.841,8.7166,7.6975,7.5562,8.1373,7.5726,7.6213,7.7311,7.8359,7.4996,6.4887,6.4329,7.2442,6.6505,7.3267,7.2206,6.895,6.9656,7.8638,7.5511,6.4005,6.8913,8.1117,6.9314,5.928,6.3965,6.6192,5.7445606,-0.134507935,-0.004073879,0.001539272
Czech Republic,35.326,35.222,34.062,35.259,36.647,37.1,38.653,38.102,37.283,37.145,37.938,38.678,39.514,39.668,39.68,38.451,38.295,38.592,38.375,39.098,38.249,38.076,37.633,38.074,36.608,31.4548,28.8776,25.8234,24.6101,22.841,22.6598,22.5638,23.1731,21.2543,18.4084,21.6429,21.1851,20.7916,21.0445,20.9829,20.2475,21.0354,21.3891,19.7412,17.6551,18.7677,18.4141,17.4074,17.2027,16.0369,16.58,16.9003,0.016533433,-0.019785073,0.004528485
