location,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Growth rate per annum 2016,Growth rate per annum 2005-15,Share 2016
Trinidad & Tobago,0.113092922,0.132658428,0.146418783,0.153201739,0.154481492,0.176734567,0.172254021,0.177551745,0.170987651,0.156214107,0.141979002,0.15936861,0.18784331,0.224251441,0.231796509,0.261178033,0.288487355,0.350620356,0.363247079,0.379573518,0.389635175,0.398716987,0.422371296,0.484830593,0.487087876,0.505011168,0.550684931,0.530689891,0.597260274,0.684054794,0.734356164,0.826911339,0.899806849,0.899806849,0.923027671,0.936319621,1.080064624,1.161404519,1.291890331,1.417962518,1.577993793,2.050073001,2.121947575,2.056360789,2.144077936,2.242309254,2.253876523,2.143685163,2.168869778,2.127614305,2.082171849,1.843779825,-0.114492002,0.028113657,0.005393598
Venezuela,0.655336933,0.687157755,0.752949455,0.775121462,0.799820666,0.745961774,0.72295618,0.716585319,0.885177871,0.935489171,0.90990351,1.124837397,1.231229313,1.242409602,1.391515954,1.428560648,1.440214713,1.536752207,1.513209099,1.669244975,1.676290812,1.845500185,1.798306465,1.835955054,1.890328843,2.125222412,2.119094754,2.08575215,2.25712832,2.387421687,2.660801251,2.868699874,2.982879572,3.128545836,2.651986023,2.694377951,2.863228981,2.749276037,2.440485058,2.740745867,2.652856795,3.045962202,3.506182042,3.30924122,3.12258528,3.117477469,2.87546575,3.030181163,2.952206307,2.972798093,3.340006305,3.431844974,0.027496556,0.023300881,0.010039155
Other S. & Cent. America,0.004085106,0.004407614,0.004622619,0.004717198,0.004837625,0.005267636,0.005697647,0.010399278,0.011825306,0.012362819,0.016232919,0.020048093,0.023005594,0.024725639,0.028918247,0.029911326,0.034185883,0.035583419,0.038701,0.033878061,0.037410967,0.042786106,0.051278825,0.051996391,0.064501667,0.070306817,0.072994386,0.08268657,0.085574862,0.100366122,0.111053884,0.113617612,0.110953819,0.132807338,0.170322903,0.171714001,0.224709831,0.232050458,0.294373622,0.287473791,0.325791114,0.386356606,0.435685007,0.459771684,0.482237433,0.515273344,0.569871007,0.623007343,0.681308637,0.710566414,0.707983391,0.715559617,0.010701135,0.080708043,0.002093222
Total S. & Cent. America,1.375465445,1.470262058,1.583607419,1.661817993,1.715239747,1.75360896,1.755813468,1.871188385,2.106108196,2.163285431,2.226288611,2.532741945,2.728447018,2.812643554,3.08100952,3.300129434,3.408393115,3.724597636,3.908730332,4.213885984,4.315740794,4.762718994,4.802480179,5.212481507,5.458122811,5.59779556,5.793958229,5.857593751,6.150928138,6.500546596,7.136327327,7.777627981,8.224529936,8.721043025,8.72136894,9.280771597,9.789505045,9.924943717,10.33675809,11.42556622,11.94148084,13.10733609,13.79877356,13.84100562,13.22668679,14.53673103,14.55852586,15.3983135,15.98114713,16.33920663,17.01246743,16.58814711,-0.024941727,0.036026614,0.048525203
Austria,0.175897536,0.188866463,0.180945441,0.192432825,0.234104848,0.283966519,0.326199683,0.35155901,0.387458018,0.419978704,0.419473436,0.476455507,0.486894848,0.506441761,0.502148123,0.481097599,0.459838455,0.445098922,0.454148302,0.504273961,0.54179825,0.526040111,0.548764186,0.524240216,0.564559473,0.621508149,0.658931038,0.645302308,0.680488528,0.699946552,0.764226521,0.811212169,0.783980707,0.804869026,0.822132367,0.782633654,0.831708961,0.81769436,0.899421771,0.905596946,0.956092102,0.898441259,0.850042585,0.907530496,0.886270286,0.964632338,0.907332739,0.863056089,0.829472883,0.761245681,0.80769421,0.843481954,0.044308531,-0.016725619,0.002467432
Azerbaijan,,,,,,,,,,,,,,,,,,,,,1.276642258,1.418479809,1.4009587,1.379657706,1.453522028,1.482411,1.418479809,1.100189915,0.814314414,0.761751086,0.752990532,0.550094957,0.525320403,0.490278184,0.525320403,0.506411864,0.728377545,0.730463391,0.749027424,0.803427565,0.83215906,0.879703501,0.774545354,0.883726662,0.756648331,0.719269469,0.787731713,0.824445391,0.83037286,0.910903116,1.030339944,1.00760402,-0.02206643,0.021591849,0.002947538
Belarus,,,,,,,,,,,,,,,,,,,,,0.867712081,0.884294559,0.99818177,1.152609627,1.217091344,1.296770675,1.357155927,1.571759311,1.462282583,1.278310934,1.155767462,1.213765958,1.392198145,1.409719255,1.436000918,1.519339598,1.514741618,1.558544392,1.532262727,1.72891444,1.777453966,1.814131268,1.821311091,1.860169266,1.558984855,1.909920621,1.770614532,1.78744951,1.793931447,1.775132568,1.506328721,1.641608328,0.089807493,-0.016414451,0.004802187
Belgium,0.006794028,0.012261602,0.046730894,0.11337611,0.234185974,0.367448284,0.506684255,0.637110316,0.767884576,0.899924424,0.88918339,0.936687258,0.924075575,0.916264754,1.001127705,0.955308264,0.883505524,0.736585831,0.765448894,0.787709999,0.793690327,0.712633418,0.785856397,0.773472305,0.861910222,0.87819509,0.93898315,0.970211981,1.011237866,1.039830554,1.140705688,1.266746879,1.2109869,1.341018581,1.433537524,1.433229727,1.416862114,1.438166244,1.548254912,1.562034999,1.583281129,1.612823594,1.604857944,1.590784632,1.624556002,1.82666677,1.525811219,1.539521183,1.524365588,1.334160653,1.46236671,1.488671438,0.017987778,-0.007912847,0.004354801
Bulgaria,0.005912653,0.008815228,0.026768192,0.040953859,0.042678603,0.038485994,0.026589144,0.017865103,0.01804808,0.03932679,0.104440843,0.182160904,0.233081366,0.248654479,0.266025468,0.340999461,0.371954527,0.411597909,0.432502254,0.453495221,0.495991749,0.492548518,0.549280959,0.532122876,0.54928327,0.58250699,0.491938442,0.434378732,0.40529148,0.405448621,0.48934793,0.498565889,0.398834843,0.333706924,0.289125162,0.314052009,0.264729056,0.234722101,0.248032849,0.241508445,0.301932135,0.311111005,0.313532822,0.312696916,0.224283794,0.247013745,0.282802556,0.262835026,0.254605031,0.252918078,0.277339604,0.288077089,0.03871602,-0.008459963,0.00084271
Czech Republic,0.039659559,0.041505963,0.049857533,0.061313347,0.067422636,0.074064145,0.092019789,0.099654642,0.109744345,0.13380306,0.153184526,0.168660676,0.192201656,0.215366055,0.241633984,0.277575119,0.279225293,0.295773603,0.347019983,0.368366347,0.453522144,0.479242391,0.52277963,0.52467217,0.5429468,0.564142317,0.544351823,0.621780251,0.637175804,0.622367596,0.703995297,0.807870464,0.822070413,0.823572494,0.830068417,0.803646169,0.863479319,0.834440628,0.84305795,0.795018929,0.830625085,0.816870132,0.760404727,0.762017007,0.720128416,0.81780476,0.741552969,0.735007326,0.746745034,0.664027619,0.69683204,0.75221486,0.079478006,-0.017410075,0.002200449
